                                                                      
Age group,  2019,     2020,     2021,     2022
<1Y,    10.7,     10.7,     10.6,     10.8
1-4,     0.8,      0.6,      0.6,      0.6
5-9,     0.3,      0.2,      0.3,      0.3
10-,     0.3,      0.3,      0.4,      0.3
15-,     0.4,      0.4,      0.4,      0.4
20-,     0.6,      0.5,      0.7,      0.5
35-,     1.1,        1,      1.5,        1
45-,     1.9,      2.3,      3.1,        2
50-,       4,      4.3,      5.1,      4.5
55-,     6.7,      7.4,      9.5,      7.3
60-,    12.6,     13.7,     16.9,     12.9
65-,      27,     29.4,     36.4,     26.8
75+,    96.4,    104.5,    119.7,    104.5
