Country Name,Country ISO3,Year,Indicator Name,Value
West Bank and Gaza,PSE,2021,"Death rate, crude (per 1,000 people)",3.815
West Bank and Gaza,PSE,2020,"Death rate, crude (per 1,000 people)",3.489
West Bank and Gaza,PSE,2019,"Death rate, crude (per 1,000 people)",3.225
West Bank and Gaza,PSE,2018,"Death rate, crude (per 1,000 people)",3.317
West Bank and Gaza,PSE,2017,"Death rate, crude (per 1,000 people)",3.26
West Bank and Gaza,PSE,2016,"Death rate, crude (per 1,000 people)",3.302
West Bank and Gaza,PSE,2015,"Death rate, crude (per 1,000 people)",3.304
West Bank and Gaza,PSE,2014,"Death rate, crude (per 1,000 people)",3.829
West Bank and Gaza,PSE,2013,"Death rate, crude (per 1,000 people)",3.309
West Bank and Gaza,PSE,2012,"Death rate, crude (per 1,000 people)",3.436
West Bank and Gaza,PSE,2011,"Death rate, crude (per 1,000 people)",3.459
West Bank and Gaza,PSE,2010,"Death rate, crude (per 1,000 people)",3.484
West Bank and Gaza,PSE,2009,"Death rate, crude (per 1,000 people)",3.554
West Bank and Gaza,PSE,2008,"Death rate, crude (per 1,000 people)",3.566
West Bank and Gaza,PSE,2007,"Death rate, crude (per 1,000 people)",3.675
West Bank and Gaza,PSE,2006,"Death rate, crude (per 1,000 people)",3.9
West Bank and Gaza,PSE,2005,"Death rate, crude (per 1,000 people)",4
West Bank and Gaza,PSE,2004,"Death rate, crude (per 1,000 people)",4.1
West Bank and Gaza,PSE,2003,"Death rate, crude (per 1,000 people)",4.2
West Bank and Gaza,PSE,2002,"Death rate, crude (per 1,000 people)",4.3
West Bank and Gaza,PSE,2001,"Death rate, crude (per 1,000 people)",4.4
West Bank and Gaza,PSE,2000,"Death rate, crude (per 1,000 people)",4.5
West Bank and Gaza,PSE,1999,"Death rate, crude (per 1,000 people)",4.6
West Bank and Gaza,PSE,1998,"Death rate, crude (per 1,000 people)",4.8
West Bank and Gaza,PSE,1997,"Death rate, crude (per 1,000 people)",4.9
West Bank and Gaza,PSE,1996,"Death rate, crude (per 1,000 people)",5.16
West Bank and Gaza,PSE,1995,"Death rate, crude (per 1,000 people)",5.42
West Bank and Gaza,PSE,1994,"Death rate, crude (per 1,000 people)",5.68
West Bank and Gaza,PSE,1993,"Death rate, crude (per 1,000 people)",5.94
West Bank and Gaza,PSE,1992,"Death rate, crude (per 1,000 people)",6.2
West Bank and Gaza,PSE,1991,"Death rate, crude (per 1,000 people)",6.46
West Bank and Gaza,PSE,1990,"Death rate, crude (per 1,000 people)",6.72
