Infectious disease / vaccine,Outcome of vaccination (direct/individual protection only),Definition of fully vaccinated in Gaza,Other specifications,Central estimate,Lower bound,Upper bound,Notes,Sources used,Reviewer
Diphtheria (as part of pentavalent vaccine),Vaccine effectiveness against infection (% of fully vaccinated people who are protected against acquiring infection),"3 infant doses at months 2, 4, and 6 + booster around year 6",,0.600,0.510,0.680,"Truelove et al. estimate this as the total vaccine effectiveness against infection, but note this is likely due to reduction of shedding/infectiousness.
Though evidence is very limited, there appears to be no protection against acquisition of infection (see single 1972 study by Miller et al.)","Truelove SA, Keegan LT, Moss WJ, Chaisson LH, Macher E, Azman AS, Lessler J. Clinical and Epidemiological Aspects of Diphtheria: A Systematic Review and Pooled Analysis. Clin Infect Dis. 2020 Jun 24;71(1):89-97. doi: 10.1093/cid/ciz808. PMID: 31425581; PMCID: PMC7312233.
https://jamanetwork.com/journals/jamapediatrics/article-abstract/504408",Punam Mangtani
Diphtheria (as part of pentavalent vaccine),Vaccine effectiveness against severe disease (% of fully vaccinated people who are protected against acquiring severe disease),"3 infant doses at months 2, 4, and 6 + booster around year 6",,0.810,0.740,0.860,defined as local+systemic symptoms+a major complication. Higher against mortality 93% (90-96)  ,"Truelove SA, Keegan LT, Moss WJ, Chaisson LH, Macher E, Azman AS, Lessler J. Clinical and Epidemiological Aspects of Diphtheria: A Systematic Review and Pooled Analysis. Clin Infect Dis. 2020 Jun 24;71(1):89-97. doi: 10.1093/cid/ciz808. PMID: 31425581; PMCID: PMC7312233.",Punam Mangtani
Diphtheria (as part of pentavalent vaccine),Immunity waning rate per year (1 / mean duration of functional vaccine protection against infection and/or disease),after full priming regimen,,0.400,1.111,0.250,Years of full clinical immunity protection (0.1 IU/ml) after 3 doses without booster. Note that Truelove (above) provide a much lower rate of waning. They also report a decline in VE by age 0-4 96%; 5-9 92%;>=20 63%. See suppl fig 5b to get CIs.,https://www.tandfonline.com/doi/full/10.1080/21645515.2022.2099700,Punam Mangtani
Pertussis (as part of pentavalent vaccine),Vaccine effectiveness against infection (% of fully vaccinated people who are protected against acquiring infection),"3 infant doses at months 2, 4, and 6",whole-cell,0.830,0.600,0.920,total vaccine effectiveness including effect on susceptibility to infection and on infectiousness to others. Choi et al. report 80% in England and Wales.,"https://www.sciencedirect.com/science/article/abs/pii/S0264410X03000070
",Francesco Checchi
Pertussis (as part of pentavalent vaccine),Vaccine effectiveness against severe disease (% of fully vaccinated people who are protected against acquiring severe disease),"3 infant doses at months 2, 4, and 6",whole-cell,0.940,0.880,0.970,Effectiveness in the first 5 years of life against WHO standard case definition of severe pertussis. Effectiveness among adults is not well documented. Effectiveness tends to go up as clinical endpoint becomes more severe.,"https://doi.org/10.1093/cid/ciw051
https://www.who.int/teams/immunization-vaccines-and-biologicals/policies/position-papers/pertussis",Francesco Checchi
Pertussis (as part of pentavalent vaccine),Immunity waning rate per year (1 / mean duration of functional vaccine protection against infection and/or disease),after full priming regimen,whole-cell,0.043,0.059,0.034,Range. Values approximated from Fig 4 in Choi et al. paper.,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-016-0665-8,Francesco Checchi
Measles (as part of MMR),Vaccine effectiveness against infection (% of fully vaccinated people who are protected against acquiring infection),"dose 1 at 12mths, dose 2 at 18mths",,0.850,0.250,0.970,Cochrane review; 2 doses (unspecified timing). 3 cohort studies only.,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004407.pub5/full,Francesco Checchi
Measles (as part of MMR),Vaccine effectiveness against severe disease (% of fully vaccinated people who are protected against acquiring severe disease),"dose 1 at 12mths, dose 2 at 18mths",,0.941,0.883,0.983,"VE based on sys review of observational epi studies measles cases (for MVC1&MCV2, n=8 studies) (global Eng lang only) ","Uzicanin, Amra, and Laura Zimmerman. “Field Effectiveness of Live Attenuated Measles-Containing Vaccines: A Review of Published Literature.” The Journal of Infectious Diseases 204 (2011): S133–48. http://www.jstor.org/stable/41230455",Punam Mangtani
Measles (as part of MMR),Immunity waning rate per year (1 / mean duration of functional vaccine protection against infection and/or disease),after full priming regimen,,0.009,0.005,0.016,Estimated proportion no longer protected per year  based on pooled studies (n=12) of antibody waning,"Schenk J, Abrams S, Theeten H, Van Damme P, Beutels P, Hens N. Immunogenicity and persistence of trivalent measles, mumps, and rubella vaccines: a systematic review and meta-analysis. Lancet Infect Dis. 2021 Feb;21(2):286-295. doi: 10.1016/S1473-3099(20)30442-4. Epub 2020 Sep 1. PMID: 32888410; PMCID: PMC9665966",Punam Mangtani
Polio / IPV-OPV sequential,Vaccine effectiveness against infection (% of fully vaccinated people who are protected against acquiring infection),"IPV: 2 infant doses at months 1 and 2; OPV: 3 infant doses at months 2, 4, and 6 with boosters at 18mths and around year 6","In Gaza, OPV is combined with IPV",0.280,0.220,0.290,"Macklin et al: % gaining intestinal immunity as a proxy of infectiousness, for 3bOPV-2IPV schedule.
Effect is driven by OPV.
o'Ryan show non-inferiority of combined OPV-IPV schedule vs IPV in terms of immunogenicity.","https://researchonline.lshtm.ac.uk/id/eprint/4655322/1/Macklin2019_LancetID_FINAL%20(1).pdf
https://doi.org/10.1002/14651858.CD011260.pub2
https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00219-4/fulltext",Francesco Checchi
Polio / bOPV two-dose campaign,Vaccine effectiveness against infection (% of fully vaccinated people who are protected against acquiring infection),two bOPV doses for all children under 5y,Catch-up campaign,0.300,0.170,0.480,"Macklin et al: % gaining intestinal immunity as a proxy of infectiousness, for 3bOPV schedule.
",https://researchonline.lshtm.ac.uk/id/eprint/4655322/1/Macklin2019_LancetID_FINAL%20(1).pdf,Francesco Checchi
